"venue_short","sport_id","league_abbrev","team_id","spring_league_id","active_sw","division","mlb_org_brief","season","first_year_of_play","state","name_short","bis_team_code","venue_id","name_display_short","name_display_long","name_display_brief","sport_code_name","spring_league","league","division_id","sport_code","time_zone_num","mlb_org","name_display_full","all_star_sw","division_abbrev","name","home_opener","phone_number","address_zip","time_zone_text","venue_name","division_full","franchise_code","city","time_zone_alt","address_state","name_abbrev","store_url","file_code","address_line3","address_line2","address_province","mlb_org_id","address_line1","spring_league_full","spring_league_abbrev","last_year_of_play","address","league_full","address_country","base_url","time_zone","address_city","team_code","mlb_org_abbrev","address_intl","time_zone_generic","website_url","sport_code_display","home_opener_time","mlb_org_short","league_id"
"","15","NYP","488","","Y","M","Orioles","2012","2002","MD","Aberdeen","","2837","Aberdeen","Aberdeen IronBirds","IronBirds","A(Short)","","NYP","228","asx","","Baltimore Orioles","Aberdeen IronBirds","N","NYPM","IronBirds","2012-06-20T00:00:00","","21001","","Ripken Stadium","New York-Penn League McNamara","","Aberdeen","America/New_York","MD","ABD","","t488","","","","110","873 Long Drive","","","2023","873 Long Drive&#xa;Aberdeen, MD  21001","New York-Penn League","USA","","ET","Aberdeen","abe","BAL","N","ET","","Class A Short Season","7:35:00 PM","Baltimore","127"
"","11","MEX","560","","Y","N","OOC","2012","1960","MX","Monclova","","2950","Monclova","Acereros del Norte","Acereros","AAA","","MEX","222","aaa","","Office of the Commissioner","Acereros del Norte","N","MEXN","Acereros","2012-03-17T00:00:00","","25750","","Estadio Monclova","Mexican League Norte","","Monclova","America/Chicago","","MVA","","t560","","Colonia Cuidad Deportiva","","11","Av. Cuauhtemoc No. 299","","","2023","Av. Cuauhtemoc No. 299&#xa;Colonia Cuidad Deportiva&#xa;Monclova, Mexico&#xa;25750","Mexican League","Mexico","","CT","Monclova","mva","OOC","Y","CT","","Triple-A","9:00:00 PM","OOC","125"
"","16","AZL","1991","","Y","E","D-backs","2012","1996","AZ","ACL D-backs","","4249","ACL D-backs","ACL D-backs","ACL D-backs","ROK","","AZL","560","rok","","Arizona Diamondbacks","ACL D-backs","N","AZLE","ACL D-backs","2012-06-21T00:00:00","(602) 462-6561","85256","","Salt River Fields at Talking Stick","Arizona League East","","Scottsdale","America/Phoenix","AZ","DIA","","t1991","","7555 N. Pima Road","","109","Salt River Fields at Talking Stick","","","2023","Salt River Fields at Talking Stick&#xa;7555 N. Pima Road&#xa;Scottsdale, AZ  85256","Arizona League","USA","","MST","Scottsdale","dia","AZ","N","MST","","Rookie","10:00:00 PM","Arizona","121"
"","17","ABL","4064","","Y","","OOC","2012","2010","","Adelaide","","4213","Adelaide","Adelaide Bite","Bite","WIN","","ABL","","win","","Office of the Commissioner","Adelaide Bite","N","","Bite","2012-11-01T00:00:00","(08) 8431 0441","5067","","Norwood Oval","","","Adelaide","","","ADE","","t4064","","","SA","11","4 Woods St.","","","2022","4 Woods St.&#xa;Norwood, SA, Australia&#xa;5067","Australian Baseball League","Australia","","ACT","Norwood","ade","OOC","Y","ACT","","Winter Leagues","4:30:00 AM","OOC","595"
"","51","","750","","N","","","2012","2005","","Afghanistan","","401","Afghanistan","Afghanistan","Afghanistan","INT","","","","int","","","Afghanistan","N","","Afghanistan","","","","","TBD","","","United States","America/New_York","","AFG","","t750","","","","","","","","2023","","","","","ET","","afg","","","ET","","International Baseball","","",""
"Estadio Cibao","17","LIDOM","667","","Y","","OOC","2012","2004","DR","Aguilas","","3051","Aguilas","Aguilas Cibaenas","Aguilas","WIN","","DWL","","win","","Office of the Commissioner","Aguilas Cibaenas","N","","Aguilas","2012-10-19T00:00:00","1-809-575-4310","","","Estadio Cibao","","","Santiago","","","AGU","","t667","","","","11","Av. Imbert","","","2023","Av. Imbert&#xa;Santiago de los Caballeros, Dominican Republic","Liga de Beisbol Dominicano","Dominican Republic","","AST","Santiago de los Caballeros","agu","OOC","Y","AST","","Winter Leagues","7:30:00 PM","OOC","131"
"","17","LVBP","692","","Y","","OOC","2012","2004","VZ","Zulia","","3031","Zulia","Aguilas del Zulia","Aguilas","WIN","","VWL","","win","","Office of the Commissioner","Aguilas del Zulia","N","","Aguilas","2012-10-16T00:00:00","","","","Estadio Luis Aparicio","","","Maracaibo","","","ZUL","","t692","","","","11","Calle 78","","","2023","Calle 78&#xa;Maracaibo, Venezuela","Liga Venezuela Beisbol Profesional","Venezuela","","VET","Maracaibo","zul","OOC","Y","VET","","Winter Leagues","8:00:00 PM","OOC","135"
"","17","LMP","673","","Y","","OOC","2012","2004","MX","Mexicali","","3076","Mexicali","Aguilas de Mexicali","Mexicali","WIN","","LMP","","win","","Office of the Commissioner","Aguilas de Mexicali","N","","Mexicali","2012-10-13T00:00:00","","21230","","Casas GEO","","","Mexicali","America/Los_Angeles","","MXC","","t673","","Fracc. Las Fuentes","","11","Calz. Cuauhtemoc","","","2023","Calz. Cuauhtemoc&#xa;Fracc. Las Fuentes&#xa;Mexicali, Mexico&#xa;21230","Liga Mexicana del Pacifico","Mexico","","PT","Mexicali","mxc","OOC","Y","PT","","Winter Leagues","9:00:00 PM","OOC","132"
"","12","EAS","402","","Y","W","Guardians","2012","1989","OH","Akron","","2740","Akron","Akron Aeros","Aeros","AA","","EAS","213","aax","","Cleveland Guardians","Akron Aeros","N","EASW","Aeros","2012-04-12T00:00:00","","44308","","Canal Park","Eastern League Western","","Akron","America/New_York","OH","AKR","","t402","","","","114","300 S. Main Street","","","2023","300 S. Main Street&#xa;Akron, OH  44308","Eastern League","USA","","ET","Akron","akr","CLE","N","ET","","Double-A","7:05:00 PM","Cleveland","113"
"","51","","751","","N","","","2012","2005","","Albania","","401","Albania","Albania","Albania","INT","","","","int","","","Albania","N","","Albania","","","","","TBD","","","United States","America/New_York","","ALB","","t751","","","","","","","","2023","","","","","ET","","alb","","","ET","","International Baseball","","",""
"","11","PCL","342","","Y","AS","Dodgers","2012","1946","NM","Albuquerque","","2683","Albuquerque","Albuquerque Isotopes","Isotopes","AAA","","PCL","234","aaa","","Los Angeles Dodgers","Albuquerque Isotopes","N","PCLAS","Isotopes","2012-04-13T00:00:00","","87106","","Isotopes Park","Pacific Coast League American Southern","","Albuquerque","America/Denver","NM","ABQ","","t342","","","","119","1601 Avenida Cesar Chavez SE","","","2023","1601 Avenida Cesar Chavez SE&#xa;Albuquerque, NM  87106","Pacific Coast League","USA","","MT","Albuquerque","alb","LAD","N","MT","","Triple-A","9:05:00 PM","LA Dodgers","112"
"","51","","752","","N","","","2012","2005","","Algeria","","401","Algeria","Algeria","Algeria","INT","","","","int","","","Algeria","N","","Algeria","","","","","TBD","","","United States","America/New_York","","ALG","","t752","","","","","","","","2023","","","","","ET","","alg","","","ET","","International Baseball","","",""
"","17","LMP","674","","Y","","OOC","2012","2004","MX","Guasave","","3069","Guasave","Algodoneros de Guasave","Guasave","WIN","","LMP","","win","","Office of the Commissioner","Algodoneros de Guasave","N","","Guasave","2012-10-14T00:00:00","","81000","","Francisco Carranza Limon","","","Guasave","America/Denver","","GSV","","t674","","","","11","Internacional 15","","","2023","Internacional 15&#xa;Guasave, Mexico&#xa;81000","Liga Mexicana del Pacifico","Mexico","","MT","Guasave","gsv","OOC","Y","MT","","Winter Leagues","8:00:00 PM","OOC","132"
"","12","EAS","452","","Y","W","Pirates","2012","1999","PA","Altoona","","2733","Altoona","Altoona Curve","Curve","AA","","EAS","213","aax","","Pittsburgh Pirates","Altoona Curve","N","EASW","Curve","2012-04-05T00:00:00","","16602","","Peoples Natural Gas Field","Eastern League Western","","Altoona","America/New_York","PA","ALT","","t452","","","","134","1000 Park Avenue","","","2023","1000 Park Avenue&#xa;Altoona, PA  16602","Eastern League","USA","","ET","Altoona","alt","PIT","N","ET","","Double-A","6:30:00 PM","Pittsburgh","113"
"","51","","753","","N","","","2012","2005","","American Samoa","","401","American Samoa","American Samoa","American Samoa","INT","","","","int","","","American Samoa","N","","American Samoa","","","","","TBD","","","United States","America/New_York","","ASA","","t753","","","","","","","","2023","","","","","ET","","asa","","","ET","","International Baseball","","",""
"","51","","755","","N","","","2012","2005","","Angola","","401","Angola","Angola","Angola","INT","","","","int","","","Angola","N","","Angola","","","","","TBD","","","United States","America/New_York","","ANG","","t755","","","","","","","","2023","","","","","ET","","ang","","","ET","","International Baseball","","",""
"","51","","756","","N","","","2012","2005","","Antigua and Barbuda","","401","Antigua and Barbuda","Antigua and Barbuda","Antigua and Barbuda","INT","","","","int","","","Antigua and Barbuda","N","","Antigua and Barbuda","","","","","TBD","","","United States","America/New_York","","ANT","","t756","","","","","","","","2023","","","","","ET","","ant","","","ET","","International Baseball","","",""
"","1","NL","109","114","Y","W","D-backs","2012","1996","AZ","Arizona","ARI","15","Arizona","Arizona Diamondbacks","D-backs","MLB","CL","NL","203","mlb","","Arizona Diamondbacks","Arizona Diamondbacks","N","NLW","D-backs","2012-04-06T00:00:00","(602) 462-6500","85004","","Chase Field","National League West","ARI","Phoenix","America/Phoenix","AZ","AZ","","ari","","","","109","401 East Jefferson Street","Cactus League","CL","2023","401 East Jefferson Street&#xa;Phoenix, AZ  85004","National League","","","MST","Phoenix","ari","AZ","N","MST","","Major League Baseball","7:10:00 PM","Arizona","104"
"","22","CBB","232","","Y","","OOC","2012","2002","","Arizona","","5325","Arizona","Arizona Wildcats","Wildcats","College","","CBB","","bbc","","Office of the Commissioner","Arizona Wildcats","N","","Wildcats","","(817) 533-1972","76011","","","","","","America/Chicago","TX","UA","","t232","","","","11","734 Stadium Drive","","","2023","734 Stadium Drive&#xa;Arlington, TX  76011","College Baseball","USA","","","Arlington","uar","OOC","N","","","College Baseball","","OOC","107"
"","22","CBB","3375","","Y","","OOC","2012","2009","","Arkansas","","401","Arkansas","Arkansas Razorbacks","Razorbacks","College","","CBB","","bbc","","Office of the Commissioner","Arkansas Razorbacks","N","","Razorbacks","","","","","TBD","","","United States","America/New_York","","ARK","","t3375","","","","11","","","","2023","","College Baseball","","","ET","","ark","OOC","","ET","","College Baseball","","OOC","107"
"","12","TEX","574","","Y","N","Angels","2012","1932","AR","Arkansas","","3389","Arkansas","Arkansas Travelers","Travelers","AA","","TEX","241","aax","","Los Angeles Angels","Arkansas Travelers","N","TEXN","Travelers","2012-04-05T00:00:00","","72114","","Dickey-Stephens Park","Texas League North","","Little Rock","America/Chicago","AR","ARK","","t574","","","","108","400 W. Broadway","","","2023","400 W. Broadway&#xa;Little Rock, AR  72114","Texas League","USA","","CT","Little Rock","ark","LAA","N","CT","","Double-A","8:10:00 PM","LA Angels","109"
"","51","","758","","N","","","2012","2005","","Armenia","","401","Armenia","Armenia","Armenia","INT","","","","int","","","Armenia","N","","Armenia","","","","","TBD","","","United States","America/New_York","","ARM","","t758","","","","","","","","2023","","","","","ET","","arm","","","ET","","International Baseball","","",""
"","51","","759","","N","","","2012","2005","","Aruba","","401","Aruba","Aruba","Aruba","INT","","","","int","","","Aruba","N","","Aruba","","","","","TBD","","","United States","America/New_York","","ARU","","t759","","","","","","","","2023","","","","","ET","","aru","","","ET","","International Baseball","","",""
"","22","CBB","4304","","Y","","","2012","2011","","Asheville","","401","Asheville","Asheville Redbirds","Redbirds","College","","CBB","","bbc","","","Asheville Redbirds","N","","Redbirds","","","","","TBD","","","United States","America/New_York","","","","t4304","","","","","","","","2015","","College Baseball","","","ET","","arb","","","ET","","College Baseball","","","107"
"","14","SAL","573","","Y","S","Rockies","2012","1959","NC","Asheville","","2807","Asheville","Asheville Tourists","Tourists","A(Full)","","SAL","238","afx","","Colorado Rockies","Asheville Tourists","N","SALS","Tourists","2012-04-06T00:00:00","","28801","","McCormick Field","South Atlantic League Southern","","Asheville","America/New_York","NC","ASH","","t573","","","","115","30 Buchanan Place","","","2023","30 Buchanan Place&#xa;Asheville, NC  28801","South Atlantic League","USA","","ET","Asheville","ash","COL","N","ET","","Class A","7:05:00 PM","Colorado","116"
"","17","PWL","4644","","N","","OOC","2012","2012","PR","Manati","","4450","Manati","Atenienses de Manati","Manati","WIN","","PWL","","win","","Office of the Commissioner","Atenienses de Manati","N","","Manati","2012-11-10T00:00:00","","674","","Estadio Municipal Pedro Roman Melendez","","","Manati","","","MAN","","t4644","","","","11","Calle Cordova Dvila","","","2020","Calle Cordova Dvila&#xa;Manati, Puerto Rico&#xa;674","Liga de Beisbol Profesional Roberto Clemente","Puerto Rico","","AST","Manati","man","OOC","Y","AST","","Winter Leagues","6:15:00 PM","OOC","133"
